GeneName	Pvalue	Fvalue
Ybx1	6.08E-06	739.0194906
Zbtb21	0.083255999	4.747678666
Zc3hc1	0.000798348	63.0588996
Zfyve16	0.004550913	25.50336119
AB124611	0.013591798	14.09595602
Abcb1a	0.020782985	11.09778795
Actl6a	0.077800383	4.966729294
Add3	0.018007197	12.03974737
Agap2	0.154619611	3.0519506
Ahcyl2	0.010959054	15.87683383
Aim1	0.002585041	34.34992935
Ankrd44	0.004642958	25.23370177
Ankrd50	0.014399198	13.65028878
Anp32a	0.00206425	38.62561011
Api5	0.024199908	10.16874424
Apobr	0.014693222	13.4971889
Arhgap1	2.11E-05	396.3450587
Arhgap15	0.039736161	7.587577413
Arhgap31	0.255049802	2.009629018
Arhgap4	0.0588505	5.950651624
Arhgef1	0.065718514	5.545235919
Arhgef6	0.012907488	14.50596238
Arid2	2.79E-06	1091.287725
Arid4a	0.002552782	34.5761294
Arl6ip6	0.000179419	134.7462512
Asap1	0.013976398	13.87885131
Asic4	0.002598539	34.25653175
Aspscr1	0.021679995	10.83276838
Atad2b	0.140291714	3.285437156
Atrx	0.000632967	71.01122432
BC037034	0.011879462	15.18724456
Bcas3	0.027318576	9.477718084
Bcl2l11	0.019181387	11.61638377
Bcl2l13	0.013537656	14.12725883
Bcl9	0.002885916	32.42632504
Bcl9l	0.001237486	50.34212307
Bin2	2.92E-06	1066.879128
Bnip3l	0.307231513	1.681013542
Caap1	8.73E-05	193.8858862
Cactin	0.182954689	2.673132731
Cbl	0.055879538	6.148711065
Cbll1	0.096453236	4.29664054
Cbx3	0.001727472	42.36866515
Cbx5	0.000711455	66.89128624
Ccar2	0.038171392	7.77377222
Ccdc132	0.001104137	53.38700716
Ccdc22	0.022251552	10.6723212
Ccdc88b	0.022326459	10.65175072
Ccdc88c	0.000512043	79.12654638
Ccm2	0.254241068	2.015487893
Ccnl1	0.040846442	7.461994306
Cd2ap	0.077727549	4.969808258
Cd5	0.013435319	14.18694296
Cd97	0.073089628	5.175216212
Cdc23	0.004990504	24.28367968
Cdkn2aip	0.007814517	19.09110832
Cemip	1.22E-05	521.6018593
Cenpa	0.010746603	16.0484609
Cep152	0.003516708	29.22737206
Cep170	0.679759809	0.540457665
Cep170b	0.09612292	4.306787604
Cfl1	0.020769507	11.10190055
Champ1	0.505342545	0.925991455
Chd1	0.00062691	71.36098028
Chd2	0.01170168	15.31407823
Chkb	0.000693088	67.79235389
Cic	0.045344229	7.001288606
Cmtr1	0.20018703	2.482806355
Cops3	0.004721713	25.00926238
Coro1a	0.023523791	10.33639591
Cpsf1	0.000136387	154.7771563
Cul4b	0.02303716	10.46159954
Cxxc1	0.022820032	10.51875062
Cyld	0.12567594	3.563327954
Daxx	0.003844532	27.88530473
Dbnl	0.281182359	1.83387229
Def6	0.005563377	22.91660649
Dffa	0.002199577	37.36972018
Dgcr14	0.010671002	16.11076673
Dnm1l	0.019245903	11.59425065
Dock8	0.01149793	15.46303963
Dync1i2	0.003526942	29.18266559
Edc4	0.048037754	6.756880412
Efr3a	0.021243437	10.95965295
Eps15l1	0.020992373	11.03440885
Eps8l1	0.000500947	80.01528872
Erbb2ip	0.016057511	12.84268928
Esyt2	0.008582377	18.14521424
Evl	0.011248722	15.65070673
Exoc8	0.015912944	12.90803481
Eya3	0.00486161	24.62411058
Ezr	0.047682226	6.78795218
Fads3	0.001474967	45.98045934
Fam114a2	0.000814078	62.43156061
Fam134c	0.003077872	31.34934054
Fam208a	0.001868335	40.68014212
Fhod1	0.002066262	38.60603801
Flna	0.003596901	28.88218581
Fos	0.007724139	19.21162601
Foxk1	0.002988854	31.83587939
Foxo1	0.001659939	43.25338639
Fyb	0.005342666	23.41720308
Gabpa	0.00528671	23.54907173
Gbf1	0.00065644	69.70197188
Gimap4	0.014243752	13.73313865
Git2	0.003230793	30.56096965
Gmip	0.000342439	97.10466793
Gpr112	0.001671343	43.10022789
Gps1	0.002347393	36.12400132
Grap2	0.010583513	16.18370196
Grik5	0.00166927	43.12795744
Gsk3b	0.007014398	20.23760701
Gtf2f1	0.210367769	2.381390932
Gvin1	0.003550202	29.08177591
Hace1	0.02073373	11.11283626
Hdac5	0.005643784	22.74157231
Hdac6	0.007498775	19.52157694
Hdgf	0.008732058	17.97551034
Hdgfrp2	0.004679222	25.12965087
Hid1	0.007260524	19.8648168
Hmga1	0.130116228	3.474003212
Hmha1	0.100384402	4.179732306
Hn1	0.00537611	23.33937138
Hnrnpf	0.000468952	82.75217104
Hnrnpul2	0.001233078	50.4348057
Huwe1	0.022353258	10.64441658
Ier2	0.000213985	123.2529656
Ikbke	0.006799355	20.57974752
Il16	0.005013793	24.22357265
Il6st	0.059834445	5.888324114
Il7r	0.000163585	141.190649
Ints6	0.00388614	27.72722326
Ipcef1	0.014280153	13.71361647
Irf2bpl	0.000900562	59.28134241
Itpkb	0.024309948	10.14212197
Itpr2	0.010475624	16.27489836
Iws1	0.086725496	4.619220846
Jun	0.012861925	14.53441749
Kat5	0.086875599	4.613836929
Kat7	0.640524862	0.615164295
Kdm2a	0.08145155	4.817697646
Kiaa1429	0.241149925	2.114312009
Krt76	0.049974321	6.593484897
Lbr	0.187488628	2.620551667
Lcp1	0.025060552	9.965223686
Lef1	0.040572155	7.492539465
Limd1	0.011714251	15.30501509
Lmna	0.002351066	36.0945523
Lmnb1	0.000169962	138.4872428
Lmnb2	0.006544287	21.0072318
Lnpep	0.004261644	26.40696165
Loh12cr1	0.001834722	41.06534185
Lpxn	0.000936309	58.1086416
Lrch3	0.083552328	4.736396652
Lrch4	0.008555896	18.1756999
Lsp1	3.97E-05	288.3125884
Ltn1	0.017777461	12.12744759
Luc7l3	0.000162819	141.526329
Lzts3	0.007227199	19.91417438
Madd	0.000646601	70.24205582
Map4k2	0.007707649	19.23384334
Matr3	0.293360233	1.759940397
Mbp	0.249142934	2.053063191
Mcm2	1.26E-05	512.8525469
Mcmbp	0.001924827	40.05564493
Mier1	0.079749161	4.885915411
Mlh1	0.317688855	1.624872112
Mllt6	0.80337452	0.333102752
Mocs2	4.88E-05	259.6921799
Morc3	0.003591912	28.90332166
N4bp2l2	0.012904564	14.50778396
Nbn	0.063326249	5.678960479
Ncbp1	0.009124606	17.55045554
Ncl	0.000176849	135.7331446
Ncor1	0.039932745	7.564961491
Nek9	0.022674653	10.55747384
Nelfa	0.780614268	0.368843265
Nfatc2	0.066121108	5.523445886
Nfatc3	0.001219787	50.71731194
Nfia	0.005978778	22.05074366
Nfic	5.04E-05	255.5331041
Nolc1	0.000377431	92.41986944
Nr2c2ap	0.005461934	23.14292181
Nr4a1	3.13E-06	1030.27329
Nr4a2	0.018176025	11.97636095
Nup93	0.025062499	9.964775169
Pag1	0.001103491	53.40307943
Pak1	0.002101592	38.26697401
Papola	0.123332793	3.612384833
Parp3	0.069894321	5.328439055
Pcif1	0.008984621	17.6988345
Pdcd4	0.00010466	176.9073785
Pdlim1	0.004887451	24.55478156
Pdlim2	0.00503514	24.1688441
Pds5a	0.005201186	23.75471964
Pea15	0.003744824	28.27479308
Pelp1	0.043183891	7.213596351
Pfkfb3	0.037865182	7.81155073
Phf14	0.042042469	7.332309458
Pitpnm1	0.013489499	14.15526018
Plcb2	0.006575168	20.95415694
Plcg1	0.012097725	15.03536945
Plekhn1	0.03081231	8.831753392
Pnn	0.011434723	15.51005646
Pnpo	0.241497517	2.111586518
Ppm1h	1.92E-06	1317.578863
Ppp1r12c	0.026151818	9.721744091
Ppp1r7	0.190934814	2.581830422
Ppp3cb	0.001240128	50.28680089
Ppp6r2	0.000347092	96.44103097
Prkaa1	0.003506081	29.2740031
Prkar1a	0.000312029	101.8005793
Prkce	4.40E-06	868.6736927
Prkra	0.023540855	10.33207613
Prpf4b	0.052997158	6.356535312
Psd4	0.002746847	33.27612435
Ptbp1	0.015557294	13.07264882
Ptpn7	0.000520855	78.44115166
Ptprc	0.034787371	8.218525695
Ralbp1	0.004553152	25.49670556
Ralgapb	0.004861139	24.62537857
Ranbp3	0.034769708	8.22101586
Rasa3	7.41E-05	210.5804264
Rasgrp2	0.004075438	27.03884522
Raver1	0.323036808	1.597190978
Rbbp5	0.000961577	57.31944129
Rbm12b2	0.000648857	70.11715342
Rbm14	0.466859834	1.035822227
Rbm39	0.510502637	0.912145232
Rbm4b	0.019764843	11.42017917
Rbm7	0.035109276	8.173471821
RBM8	5.63E-05	241.8229751
Rbm8a	0.002308618	36.43916836
Rcor1	0.156541427	3.023076046
Rcsd1	0.00096665	57.16473876
Reps1	0.00081542	62.37886351
Rftn1	0.014435435	13.63116804
Rhbdf2	0.000835941	61.5892081
Rlim	0.117297043	3.745411424
Rnf20	0.018296454	11.93168253
Rprd1b	0.023099587	10.44531712
Rprd2	0.00992823	16.7602692
Rsrc2	0.123778829	3.602939911
Sae1	0.000424747	87.03081281
Sash3	0.021093742	11.00406502
Satb1	0.001754553	42.02831836
Sbno1	0.140356759	3.284297693
Sema4d	0.217430947	2.315199981
Senp1	0.001750246	42.08192479
Setd1a	0.000466798	82.94640898
Setx	4.31E-05	276.3871103
Sin3a	0.008631521	18.08900975
Sipa1l1	0.004006088	27.28536539
Sit1	0.001054848	54.65608276
Slc9a3r1	0.000234159	117.7551843
Smarca4	0.75738523	0.406265569
Smarcc2	0.00046587	83.03053325
Snrpa	0.008593398	18.13256819
Sp140	0.023376422	10.37389948
Spata2l	0.043743437	7.157102993
Spn	0.010817817	15.99036883
Sra1	0.021832068	10.78946433
Srek1ip1	0.076960859	5.002482634
Srrm1	0.322959847	1.597584593
Srsf4	0.033160798	8.456112713
Stard3nl	0.013901527	13.92040885
Stk4	0.106158874	4.019875136
Stx7	0.001170852	51.79859531
Sub1	0.00143536	46.63193068
Sun2	0.001545281	44.88624064
Synrg	0.006880112	20.44938111
Tab2	0.00217872	37.55562465
Taf5l	0.007386136	19.68178217
Tbc1d10b	0.03851677	7.731702401
Tbc1d2b	0.020982466	11.03738629
Tcof1	0.007990594	18.86221068
Thap4	0.018061584	12.01923097
Themis	0.000103236	178.1337841
Thrap3	0.000471625	82.51284134
Tle4	0.009169159	17.50394576
Tmem245	0.007817507	19.08715715
Tmem55b	0.014632652	13.52835067
Tnik	0.006204285	21.6175474
Tnrc6b	0.0264026	9.667932675
Toe1	0.022135946	10.70427245
Tom1	0.009655398	17.01745469
Tomm34	0.058323321	5.984690996
Tor1aip1	0.000377139	92.456244
Tpmt	0.002770043	33.12994775
Traf1	0.000104453	177.0841244
Trappc12	0.053132264	6.346418535
Trim28	4.39E-06	869.6862079
Trim33	0.008498878	18.24182431
Tsc22d4	0.086842743	4.615014219
Ttc6	0.000522099	78.3457514
U2af1	0.001093912	53.64321364
Ubqln2	0.013682956	14.04367121
Ubtf	0.024140537	10.18318368
Ubxn1	0.040570303	7.492746687
Usp14	0.001821505	41.21971552
Usp24	0.771563906	0.383300534
Vamp1	0.00279728	32.96062903
Vapa	0.000153399	145.8538127
Vav3	0.002536107	34.69474189
Vim	0.063971426	5.642160143
Vps13b	0.04677992	6.868391628
Vps72	0.000694589	67.71736291
Wbp11	0.023102286	10.44461472
Wdr43	0.004826713	24.71861683
Wdr7	0.006699162	20.74475377
Wdr86	0.003925648	27.57945289
Wnk1	0.087084955	4.606350898
Wrnip1	0.048382711	6.72705984
Wtap	0.015478374	13.10994365
Xiap	0.018791842	11.75243329
Ythdc1	0.180626546	2.700890149
Zc3h13	0.236235597	2.153475861
Zc3h14	0.002817726	32.83514634
Zcchc8	0.006689338	20.76113212
Zfp36	0.00798115	18.87429507
Zmym2	0.000613486	72.15446545
Znf639	0.002312299	36.40891497
Zyx	0.001366341	47.83413347
X8030462N17Rik	0.03647846	7.988542461
Abcb1b	7.05E-05	215.8473417
Abcc1	0.000875966	60.12959675
Abcc4	0.026985467	9.545772172
Abcf1	0.026064419	9.740679833
Acaca	9.10E-05	189.8629192
Acly	0.155212648	3.042983758
Aebp2	0.000134598	155.8130844
Aff4	0.026839757	9.575937837
Agfg1	0.001040283	55.04826621
Ago2	0.009413954	17.25431343
Akap1	0.000219588	121.6504264
Akap13	0.866584948	0.237162152
Alg2	0.002228429	37.11686783
Als2	0.056585284	6.10025616
Amfr	8.60E-05	195.3567341
Ankrd17	0.001990506	39.36327616
Ankzf1	0.011225998	15.66812919
Apol7e	0.005941412	22.12489466
Arhgap6	0.101068606	4.160081693
Arid1b	0.185307812	2.645604886
Arid5a	0.035683556	8.094612864
Atf7	0.060715535	5.833799623
Atn1	0.001094186	53.63631056
Atp1a1	3.33E-05	314.905074
Atxn1	0.001724626	42.40490128
Atxn1l	0.317763082	1.624483274
Bad	0.009392304	17.27599696
Bag6	0.020089963	11.31457327
Baz2a	0.008993664	17.6891451
Bclaf1	0.077019209	4.999978829
Bcor	0.005110282	23.97893965
Bicd2	0.006479716	21.11943508
Birc2	0.021188326	10.97594893
Bud13	0.066600416	5.49776119
Cad	5.77E-05	238.8945147
Camsap1	0.191715167	2.573205993
Caprin1	0.001223312	50.64195146
Casp8ap2	0.191712308	2.573237494
Cblb	0.000109009	173.3109381
Ccdc86	0.0075438	19.4585442
Ccny	0.107478528	3.985154415
Cct3	0.005459197	23.14911574
Cct4	0.003743175	28.28136428
Cd3eap	2.62E-05	354.8337092
Cd44	0.805352528	0.330034483
Cd69	0.000712694	66.83176151
Cdc26	0.002897496	32.35833267
Cdc5l	0.657407263	0.58235569
Cdca7l	0.147243805	3.167923995
Cdk12	0.283578644	1.818957738
Cdk13	0.009794622	16.88487304
Cdk4	0.000753753	64.94293612
Cdv3	0.013617604	14.08110162
Cebpz	7.42E-06	668.647201
Cep85	0.029061885	9.140842664
Cgn	0.000117206	167.085089
Chd4	0.062931109	5.701777093
Chd7	0.01854102	11.84229256
Chek1	0.000151901	146.5791774
Chtf8	0.020976627	11.03914189
Clasp1	0.000249597	114.0066563
Clasp2	0.097571657	4.262665183
Clec4g	0.004623162	25.2910159
Clip1	0.002523193	34.7874134
Clip2	0.159114981	2.985224629
Cluh	9.42E-05	186.5968323
Coil	0.036712575	7.957960354
Crtc1	0.064769768	5.597384835
Cry2	0.002465355	35.21133275
Csde1	0.000314835	101.3389953
Csnk1d	0.000762902	64.54297586
Csnk1e	0.00234634	36.13245848
Csnk2b	0.000510123	79.27829644
Ctnnb1	0.003601708	28.86186147
Ctps1	0.000763234	64.52862166
Cwc22	0.523323382	0.878559421
Cwc25	0.018987823	11.68346326
Dars	1.55E-05	462.8316865
Dcp2	0.015405216	13.14477157
Dctpp1	0.000153082	146.0064269
Ddi2	0.008443334	18.3068821
Ddx10	0.003464879	29.45681512
Ddx21	0.000199496	127.7059825
Ddx24	0.000446822	84.81477829
Ddx3x	0.043795129	7.151938593
Ddx51	0.034243539	8.296077045
Ddx54	0.000138509	153.575192
Dennd4a	0.010523655	16.23412595
Dhx29	0.008042709	18.79590686
Dhx9	0.002983691	31.86475995
Diaph3	0.002973693	31.92090881
Dkc1	0.000612069	72.23971818
Dnajc2	0.001113768	53.14892662
Dnajc21	0.001261599	49.84371117
Dnmt3a	0.009719698	16.95586829
Dnttip2	0.00236401	35.99131771
Dock2	0.236746093	2.149351837
Dot1l	0.000598292	73.08462434
E230008N13Rik	0.014947587	13.368399
E2f6	0.003642603	28.69058115
Ece2	0.000501347	79.98274772
Eed	0.079995114	4.875925721
Eef1b	0.026167291	9.718401746
Eef1d	0.000105577	176.1305061
Eef1g	0.001039047	55.08192544
Eif4ebp1	0.002673196	33.75280761
Eif4g3	0.007859894	19.03138347
Eif4h	0.017304565	12.31343564
Eif5b	0.003416564	29.67538359
Elac2	0.308363787	1.674801033
Ell2	0.001314691	48.79508154
Elmo1	0.002131394	37.98753934
Eml4	0.005997813	22.01323678
Eno1	0.59818452	0.702459136
Eomes	6.63E-05	222.7016444
Esf1	0.000170695	138.1860557
Etv6	0.000949924	57.6794697
Fam134a	0.012979826	14.4610942
Fam179b	0.000939922	57.99384764
Fam207a	0.018120426	11.99713786
Fam208b	0.020492259	11.1873919
Farsa	0.002842844	32.68284205
Fbxw8	0.018333375	11.9180731
Fip1l1	0.443423859	1.109118306
Fnbp1	0.025193216	9.934782488
Fosl1	0.004252859	26.43583724
Fosl2	0.001640196	43.52229344
Foxk2	0.00058903	73.6691494
Foxn3	0.060055195	5.874551145
Ftsj3	0.020216211	11.27425303
Fxr1	0.000633671	70.97091312
Fxr2	0.000505326	79.66107589
Fyttd1	0.001497048	45.6285426
G3bp1	0.000962017	57.30596747
G3bp2	0.000885844	59.78467888
Gfi1	0.001298089	49.11605618
Gigyf2	0.015341854	13.17513693
Gm10020	0.012359149	14.85878095
Gng12	0.000876597	60.10738709
Gnl3	0.000141664	151.8379019
Gpalpp1	0.109419873	3.935217136
Gpatch4	0.001538118	44.99426754
Gphn	0.000554831	75.95296382
Gpr171	2.74E-05	347.4060397
Gramd1b	1.09E-07	5537.11482
Hdac2	0.001102749	53.42156585
Hdac4	0.017595756	12.19802424
Hdac7	4.35E-05	275.4030219
Hdlbp	0.022165584	10.69605728
Hectd1	0.000772618	64.12605905
Heg1	0.00513473	23.91805171
Helb	0.03185487	8.659877238
Hexim1	0.301924916	1.710581306
Hist1h1e	0.007069138	20.15301425
Hivep3	0.00736626	19.71043161
Hmgn1	0.095514563	4.325612881
Hnrnpa1	0.010426985	16.316474
Hnrnpa2b1	0.076208858	5.035007297
Hnrnpc	0.01080386	16.00170857
Hnrnpul1	0.006235805	21.55887608
Hp1bp3	0.561959367	0.783757769
Hps3	0.018919776	11.70728926
Hsp90aa1	0.002864492	32.55319599
Hsp90ab1	0.004742304	24.95150515
Hspa14	0.004028091	27.20646253
Hspe1	2.69E-05	350.4760677
Hsph1	0.003785706	28.11323441
Hypk	2.80E-05	343.3282304
Ice1	0.000116132	167.8635251
Il21r	0.041790605	7.359156271
Ilf3	0.437095259	1.129853598
Inf2	0.004484619	25.70270218
Irf2bp1	0.16294462	2.930553011
Irf2bp2	0.579044549	0.744579283
Irf3	0.44399959	1.107252723
Irs1	0.024844019	10.0154321
Irs2	0.004449864	25.80898204
Iscu	0.968564693	0.078055228
Itgb4	0.013130149	14.36904295
Jak2	0.000243175	115.5226621
Jmjd1c	0.020150207	11.29528588
Josd1	0.014887063	13.39874413
Kdm2b	0.059874365	5.885827791
Kdm5b	0.01922415	11.60170073
Kdm7a	0.01774059	12.14168095
Kiaa0020	0.012625936	14.68425218
Kmt2d	0.717423151	0.473374007
Knop1	1.46E-06	1507.962469
Ksr1	0.003813263	28.0058055
Ktn1	0.000247095	114.5901051
Lad1	0.000136431	154.7520162
Lag3	0.022268186	10.66774419
Larp1	0.006494123	21.09425549
Larp4	0.000150602	147.2165904
Larp4b	0.011218784	15.67367094
Larp7	0.000146106	149.4881555
Las1l	0.000568163	75.03819585
Lats1	0.011413807	15.52570086
Leo1	0.492408162	0.96157285
Lrmp	0.789416121	0.354922067
Lsm14a	0.417707309	1.196120473
Mak16	0.000800602	62.96783773
Map4	0.012464742	14.78903364
Map7d1	0.04637416	6.905326209
Mapre2	0.000995034	56.32109191
Marcks	0.000456842	83.86228672
Marcksl1	0.000948248	57.73181749
Mark3	0.008809397	17.88952608
Mbd3	0.000826074	61.96520469
Mcm3	0.000207062	125.3221774
Mcm6	0.00254148	34.65639559
Mctp1	0.048062904	6.754695418
Mdga2	0.008885216	17.80632164
Mdn1	0.019445037	11.52663079
Meaf6	0.575885693	0.751706633
Med1	0.008602108	18.12259051
Med12	0.277266912	1.858647469
Med26	0.630163973	0.635835274
Mettl3	0.014928876	13.3777604
Mina	0.026227401	9.705444873
Mlf2	0.022213308	10.68286351
Morf4l2	0.008344464	18.42428872
Mre11a	0.014908767	13.38784108
Mtdh	0.005159415	23.85701372
Mthfd1	0.000508605	79.39882493
Mybbp1a	0.00067103	68.92296807
Myo9a	0.003481495	29.3826969
Nab2	0.009228071	17.44296305
Naca	3.13E-05	324.5992684
Nadk	0.000214219	123.1846919
Naf1	6.62E-05	222.9079984
Ncoa3	0.000304625	103.0492243
Ncoa4	0.002080159	38.47163214
Ncoa5	0.047979521	6.761946098
Ncoa7	0.484385468	0.984299948
Ncor2	0.023161421	10.42925432
Nell1	0.00194114	39.88040708
Nf1	0.006153901	21.7122658
Nfe2l3	0.006967694	20.31056603
Nfil3	3.65E-05	300.658594
Nfkb1	0.003863595	27.8125625
Nfkbib	4.27E-05	277.9842965
Nfx1	0.11718073	3.74807482
Ngdn	1.90E-05	416.8166573
Nisch	0.000665474	69.21659291
Nmd3	0.000300499	103.7648571
Nol7	2.79E-05	343.81324
Nol8	4.21E-05	279.9610604
Nol9	0.014740486	13.47300641
Nop2	0.00833612	18.43429289
Npm1	0.117098613	3.749957561
Nucks1	0.07435529	5.117265207
Nufip2	0.000139267	153.1525469
Numa1	0.553541402	0.803649592
Nup214	0.003694463	28.4774836
Orai1	0.004720072	25.01388301
Otud5	0.000198769	127.9419724
Pa2g4	5.05E-05	255.2766456
Pacs1	0.135122677	3.378583475
Papd5	0.27850079	1.850784951
Papolg	0.539547742	0.837632936
Pcbp1	0.00112738	52.81763813
Pcbp2	0.039670483	7.595170732
Pdcd1	8.15E-05	200.6322057
Pdcd11	7.90E-05	203.8783938
Pdxdc1	0.000748442	65.17849564
Peak1	8.87E-05	192.2714777
Pex1	0.002708778	33.52008988
Pex6	0.152625763	3.082477016
Phactr2	0.001328362	48.53528481
Phb2	0.013909384	13.91603207
Phf10	0.081642537	4.810177355
Phf20	0.040193946	7.535168485
Phf6	0.044403929	7.091794602
Phlpp2	4.82E-06	829.9100677
Pinx1	6.67E-05	222.0319563
Pkp4	0.003222083	30.60435963
